4.984	0.638	NGC_3115_A173
4.98	0.706	NGC_3115_A131
4.98	0.227	NGC_3115_A181
4.984	0.162	NGC_3115_A193
4.988	0.554	NGC_3115_A155
4.988	0.351	NGC_3115_A209
4.988	0.286	NGC_3115_A214
4.988	0.351	NGC_3115_A220
4.992	0.322	NGC_2005
5	0.995	N1023-FF-5
5	0.428	NGC_3115_A212
5.004	1.382	HEC5
5.004	0.312	NGC_3115_A165
5.008	0.523	NGC_6496
5.008	0.481	NGC_3115_A221
5.012	1.146	NGC_6822_C1
5.012	0.241	NGC_3115_A146
5.016	0.576	B156
5.016	0.417	NGC_3115_A138
5.016	0.458	NGC_3115_A160
5.016	-0.052	NGC_3115_A187
5.016	0.746	NGC_3115_A204
5.024	0.361	NGC_3115_A213
5.032	0.512	B196
5.032	0.311	NGC_4278_GC_79
5.036	0.175	NGC_3115_A141
5.04	0.494	NGC_6934
5.04	0.994	NGC_1841
5.044	0.501	NGC_3115_A177
5.048	0.36	NGC_4278_GC_140
5.056	0.68	NGC_3115_A192
5.056	0.952	NGC_3115_UCD23
5.06	0.796	NGC_1898
5.06	0.653	NGC_3115_A133
5.064	0.721	NGC_7006
5.064	0.642	NGC_6809
5.064	0.508	NGC_1261
5.064	0.323	NGC_3115_A116
5.068	0.149	NGC_4278_GC_67
5.068	0.204	NGC_3115_A179
5.072	0.798	NGC_5634
5.072	0.245	NGC_3115_A134
5.076	0.345	NGC_6752
5.076	0.895	acs486
5.084	0.428	NGC_3115_A175
5.088	0.388	NGC_1904
5.088	1.065	Kron_3
5.092	0.184	B234
5.092	0.407	NGC_4278_GC_141
5.092	2.527	And_XXVII
5.096	0.69	acs474
5.096	0.178	NGC_3115_A123
5.104	0.391	NGC_6218
5.108	0.399	NGC_3115_A121
5.116	0.195	NGC_4278_GC_63
5.116	0.181	NGC_4278_GC_62
5.116	0.327	NGC_3115_A99
5.12	0.524	NGC_2210
5.12	0.629	Fornax_3
5.124	0.542	NGC_3115_A159
5.128	0.584	NGC_6723
5.128	0.475	NGC_4278_GC_142
5.128	0.466	NGC_4278_GC_70
5.132	2.079	Leo_T
5.132	0.347	NGC_4278_GC_18
5.132	0.374	NGC_4278_GC_42
5.132	0.652	NGC_416
5.132	0.312	NGC_3115_A161
5.136	0.454	NGC_6584
5.136	0.405	NGC_3115_A148
5.14	0.06	NGC_3115_A127
5.14	-0.087	NGC_3115_A128
5.14	1.005	NGC_3115_UCD15
5.14	0.981	NGC_3115_UCD16
5.144	0.385	NGC_3115_A156
5.148	1.207	E91
5.148	0.289	NGC_4278_GC_149
5.156	0.321	NGC_4278_GC_8
5.16	0.964	IC_4499
5.16	0.418	NGC_4278_GC_87
5.16	0.423	NGC_4278_GC_93
5.16	0.063	NGC_4278_GC_112
5.16	0.195	NGC_3115_A157
5.168	0.504	NGC_6229
5.168	1.057	NGC_361
5.168	0.248	NGC_4278_GC_152
5.172	2.746	And_IX
5.172	0.325	B011
5.176	0.384	NGC_3115_A147
5.176	0.292	NGC_3115_A88
5.18	0.607	NGC_5694
5.18	0.582	NGC_4278_GC_6
5.18	0.16	NGC_3115_A113
5.18	0.337	NGC_3115_A85
5.184	0.164	NGC_4278_GC_103
5.188	0.434	NGC_4278_GC_16
5.188	0.195	NGC_3115_A94
5.192	0.802	NGC_4278_GC_108
5.192	0.309	B076
5.192	0.303	NGC_3115_A140
5.196	0.373	NGC_2019
5.196	0.398	Hubble_VII
5.196	0.452	NGC_4278_GC_26
5.196	0.175	NGC_4278_GC_54
5.196	0.305	NGC_4278_GC_14
5.196	0.434	NGC_3115_A92
5.2	0.271	NGC_4278_GC_46
5.2	0.443	NGC_4278_GC_69
5.2	0.163	NGC_4278_GC_206
5.204	0.316	NGC_4278_GC_224
5.208	0.211	NGC_4278_GC_227
5.208	0.456	NGC_4278_GC_11
5.216	0.507	B315
5.22	0.327	NGC_6637
5.22	0.535	NGC_4278_GC_1
5.22	0.195	NGC_3115_A119
5.22	0.374	NGC_3115_A130
5.224	0.64	NGC_3201
5.224	0.253	NGC_3115_A76
5.228	0.709	NGC_4278_GC_34
5.232	0.547	NGC_4278_GC_213
5.232	0.473	NGC_6779
5.232	1.167	A122
5.232	0.351	NGC_3115_A125
5.236	0.347	B317
5.24	0.389	NGC_6341
5.24	0.27	NGC_4278_GC_106
5.248	0.149	NGC_3115_A70
5.252	2.464	And_XXIX
5.252	1.041	H39168
5.252	0.445	NGC_3115_A120
5.256	0.588	NGC_4278_GC_130
5.256	0.191	NGC_4278_GC_31
5.26	0.607	NGC_4278_GC_48
5.26	0.297	NGC_3115_A101
5.26	0.391	NGC_3115_A108
5.26	0.552	NGC_3115_A111
5.264	0.505	NGC_4278_GC_194
5.264	0.396	NGC_3115_A71
5.264	0.374	NGC_3115_A89
5.268	0.551	B343
5.268	0.309	NGC_4278_GC_58
5.268	0.27	NGC_3115_A124
5.268	0.27	NGC_3115_A81
5.272	0.494	B289
5.272	0.241	NGC_4278_GC_117
5.276	0.169	NGC_4278_GC_38
5.28	0.309	NGC_4278_GC_2
5.28	0.223	NGC_3115_A74
5.28	0.323	NGC_3115_A80
5.284	0.51	NGC_3115_A107
5.284	0.374	NGC_3115_A117
5.288	0.388	NGC_6254
5.288	0.252	NGC_1851
5.288	0.53	NGC_1786
5.288	0.444	NGC_4278_GC_39
5.288	0.394	NGC_4278_GC_132
5.292	2.556	CenA-MM-Dw2
5.292	2.479	And_XIV
5.292	0.268	NGC_6624
5.296	0.723	acs270
5.296	0.245	NGC_3115_A73
5.3	0.279	H41061
5.304	0.204	H45288
5.304	0.387	NGC_3115_A98
5.312	0.342	H39957
5.312	0.411	NGC_4278_GC_151
5.316	0.515	NGC_4278_GC_136
5.316	0.743	NGC_121
5.316	0.395	NGC_4278_GC_88
5.316	0.642	NGC_4278_GC_114
5.32	0.374	NGC_3115_A95
5.324	0.36	B109
5.324	0.858	NGC_3115_A103
5.324	0.503	NGC_4278_GC_105
5.324	0.378	NGC_4278_GC_73
5.328	0.283	NGC_4278_GC_102
5.328	0.406	NGC_4278_GC_98
5.328	0.486	NGC_4278_GC_82
5.328	0.411	NGC_3115_A96
5.332	2.238	And_XXVIII
5.332	0.342	H46901
5.332	0.368	NGC_4278_GC_134
5.336	0.304	NGC_4278_GC_97
5.336	0.332	NGC_4278_GC_77
5.336	0.491	H47474
5.336	0.431	H40970
5.336	0.503	NGC_3115_A61
5.34	0.114	H50037
5.34	0.471	NGC_4278_GC_123
5.344	1.176	C84
5.344	0.356	NGC_3115_A64
5.348	0.033	NGC_3115_A57
5.352	0.415	H46570
5.352	0.279	H40081
5.352	0.292	NGC_4278_GC_107
5.352	0.292	NGC_3115_A86
5.356	0.419	NGC_4278_GC_110
5.356	0.23	H46427
5.356	0.37	B379
5.36	0.553	NGC_4278_GC_125
5.364	0.568	H49952
5.364	0.342	H40916
5.364	0.278	NGC_3115_A56
5.368	0.431	NGC_4278_GC_211
5.368	0.311	NGC_362
5.368	0.431	H37724
5.368	0.621	NGC_3115_A65
5.368	0.227	NGC_3115_A67
5.372	2.644	Canes_Venatici_I
5.376	0.545	NGC_6205
5.376	0.519	H47717
5.38	0.322	H51201
5.38	0.301	H44680
5.38	0.462	H40818
5.38	0.509	BH05
5.38	0.223	NGC_4278_GC_90
5.384	0.732	H53662
5.384	0.225	NGC_3115_A49
5.388	0.602	H45138
5.392	0.32	NGC_4278_GC_76
5.396	0.373	NGC_4278_GC_40
5.396	0.272	NGC_3115_A55
5.396	0.361	NGC_3115_A77
5.4	0.415	H50721
5.4	0.447	H46758
5.4	0.531	H37335
5.4	0.195	NGC_3115_A79
5.404	0.633	H51506
5.404	0.415	H47149
5.404	0.243	B115
5.412	2.388	And_XVII
5.412	0.322	H47313
5.412	0.369	NGC_3115_A83
5.416	0.38	H41904
5.416	0.498	G002
5.416	0.227	NGC_4278_GC_143
5.42	0.602	H41386
5.42	0.337	NGC_3115_A66
5.424	0.433	NGC_4278_GC_50
5.424	0.531	H51814
5.424	0.301	H48096
5.424	0.362	H41627
5.424	0.337	NGC_3115_A68
5.428	0.346	NGC_1835
5.428	0.421	NGC_4278_GC_122
5.432	0.492	NGC_3115_A50
5.432	0.362	H47791
5.432	0.415	H42566
5.436	0.398	S9001
5.436	0.452	B407
5.436	1.048	B139
5.436	0.337	NGC_3115_A75
5.436	0.39	NGC_3115_A48
5.44	0.832	NGC_5024
5.44	0.531	H47499
5.44	0.785	H39960
5.444	0.556	H49821
5.444	0.556	H40995
5.444	0.322	H37780
5.444	0.255	NGC_4278_GC_75
5.444	0.405	NGC_4278_GC_150
5.448	0.423	NGC_4278_GC_12
5.448	0.266	NGC_3115_A63
5.452	2.264	Draco
5.452	2.079	Ursa_Minor
5.452	0.255	H47487
5.452	0.58	H47065
5.456	0.244	NGC_6093
5.456	0.114	H51943
5.456	0.398	H46119
5.456	0.415	H41751
5.46	0.477	H44892
5.46	0.322	H38806
5.464	0.524	NGC_4278_GC_225
5.464	0.447	H42497
5.464	0.301	H39806
5.464	1.14	A51
5.464	1.597	A155
5.464	0.247	NGC_3115_A47
5.468	0.348	NGC_3115_A54
5.468	0.477	H45973
5.472	0.23	H46517
5.472	0.556	H43603
5.472	0.329	NGC_4278_GC_20
5.476	0.531	H53982
5.476	0.384	NGC_3115_A35
5.476	0.322	H42060
5.476	0.505	H37324
5.476	-0.029	NGC_4278_GC_127
5.48	0.46	NGC_6284
5.48	0.363	NGC_3115_A42
5.484	0.292	NGC_1916
5.484	0.138	B143
5.488	0.398	H39327
5.488	0.38	H37518
5.488	0.348	B147
5.488	0.367	NGC_4278_GC_113
5.488	0.245	NGC_3115_A39
5.492	0.192	NGC_3115_A37
5.492	0.289	NGC_4278_GC_55
5.496	0.584	NGC_5904
5.496	0.835	NGC_5272
5.496	0.38	H43665
5.5	0.477	H44359
5.5	0.415	H41581
5.5	0.312	NGC_3115_A58
5.504	0.578	H47488
5.504	0.505	H42981
5.508	0.349	NGC_4278_GC_30
5.508	0.535	NGC_4278_GC_217
5.512	0.398	H44290
5.516	0.342	H47303
5.516	0.613	NGC_4278_GC_13
5.52	0.362	NGC_6541
5.52	0.556	H37155
5.52	0.49	NGC_4278_GC_120
5.52	0.048	NGC_4278_GC_146
5.524	0.398	H50956
5.524	0.303	NGC_4278_GC_111
5.528	0.505	H52368
5.528	0.337	NGC_3115_A31
5.528	0.38	H51031
5.528	0.708	H47212
5.528	0.353	NGC_3115_A26
5.532	0.568	H44827
5.532	0.398	H42701
5.532	0.368	B232
5.536	0.23	H47458
5.54	0.591	H53216
5.54	0.398	H40653
5.54	0.458	NGC_4278_GC_95
5.54	0.361	NGC_3115_A53
5.544	0.544	H43144
5.548	0.38	H45478
5.548	0.322	NGC_4278_GC_27
5.548	0.453	NGC_3115_A51
5.548	0.992	NGC_3115_UCD8
5.552	0.415	S762
5.552	0.398	H47275
5.552	0.404	B384
5.556	0.391	NGC_4278_GC_216
5.556	0.633	H40467
5.556	0.378	B373
5.56	0.389	NGC_4278_GC_71
5.56	0.116	NGC_3115_A41
5.564	0.441	NGC_6864
5.564	0.763	H48279
5.564	0.114	H41836
5.564	0.45	B233
5.572	2.311	Carina
5.572	2.455	And_V
5.576	0.322	T14192
5.576	0.322	H47950
5.576	0.447	H45913
5.576	0.415	H44698
5.576	0.416	NGC_4278_GC_68
5.58	1.627	S1508
5.584	0.388	B386
5.584	0.316	NGC_3115_A30
5.584	1.283	acs173
5.584	0.288	NGC_4278_GC_81
5.584	0.334	NGC_4278_GC_84
5.588	0.398	S7004
5.588	0.349	NGC_4278_GC_37
5.592	0.301	H49328
5.592	0.146	H39611
5.592	0.378	NGC_4278_GC_19
5.592	0.522	NGC_3115_A25
5.592	2.565	N_dSph
5.596	0.431	H48258
5.596	0.322	H47669
5.596	0.58	H36960
5.596	0.234	NGC_3115_A38
5.596	0.337	NGC_3115_A40
5.596	0.279	NGC_4278_GC_258
5.596	0.744	NGC_4278_GC_4
5.6	0.412	NGC_4278_GC_232
5.6	0.387	NGC_4278_GC_17
5.604	0.374	NGC_3115_A44
5.604	0.613	H54353
5.604	0.505	H53223
5.604	0.643	H46406
5.604	0.58	H43262
5.604	0.146	H38229
5.604	0.766	NGC_4278_GC_89
5.608	0.337	NGC_4278_GC_36
5.608	0.426	NGC_4278_GC_128
5.612	0.462	H51795
5.612	0.544	H46258
5.612	0.16	NGC_3115_A32
5.612	2.134	And_XVI
5.612	3.186	And_XIX
5.616	0.386	NGC_4278_GC_144
5.616	0.45	B045
5.62	0.55	NGC_7089
5.62	0.255	H51694
5.62	0.447	H42943
5.624	0.38	H45402
5.624	0.519	H45240
5.624	0.39	NGC_4278_GC_33
5.624	0.535	NGC_4278_GC_74
5.628	0.322	H42024
5.628	0.602	H40709
5.628	-0.041	NGC_4278_GC_148
5.628	0.686	NGC_4278_GC_257
5.632	0.39	NGC_4278_GC_133
5.636	0.491	H53141
5.636	0.301	H47150
5.636	0.928	NGC_4278_GC_214
5.636	0.436	NGC_4278_GC_24
5.64	0.621	NGC_5824
5.64	0.477	H45937
5.64	0.392	NGC_4278_GC_100
5.64	0.357	NGC_4278_GC_101
5.644	0.2	NGC_3115_A22
5.644	0.361	NGC_3115_A33
5.648	0.398	S1434
5.648	0.322	H52933
5.652	2.748	Sextans
5.652	0.291	NGC_4278_GC_29
5.652	0.59	NGC_3115_A28
5.652	0.351	NGC_3115_A36
5.656	1.049	HUCD115
5.656	0.391	NGC_4278_GC_226
5.656	0.279	S8055
5.66	0.519	S614
5.66	0.322	H44345
5.66	0.519	H40610
5.66	0.342	H40142
5.66	0.408	NGC_4278_GC_229
5.66	0.298	NGC_4278_GC_145
5.668	0.556	H32490
5.668	0.225	NGC_4278_GC_9
5.672	0.466	NGC_5986
